Date,Sector,ValueIndex,VolumeIndex,Year,Month,YearMonth
2026-03-01,Clothing & footwear,104.1,100.9,2026,Mar,2026-03
2026-03-01,Food stores,106.9,98.2,2026,Mar,2026-03
2026-03-01,Household goods,101.2,103.4,2026,Mar,2026-03
2026-03-01,Non-food stores,107.7,106.2,2026,Mar,2026-03
2026-03-01,Non-store retailing,114.1,111.3,2026,Mar,2026-03
2026-04-01,All retail incl. fuel,108.2,102.6,2026,Apr,2026-04
2026-04-01,Clothing & footwear,102.4,99.1,2026,Apr,2026-04
2026-04-01,Food stores,108.2,99.5,2026,Apr,2026-04
2026-04-01,Household goods,102.3,103.6,2026,Apr,2026-04
2026-04-01,Non-food stores,108.3,106.2,2026,Apr,2026-04
2026-04-01,Non-store retailing,113.1,108.8,2026,Apr,2026-04
2026-05-01,All retail incl. fuel,109.1,103.8,2026,May,2026-05
2026-05-01,Clothing & footwear,102.9,99.8,2026,May,2026-05
2026-05-01,Food stores,107.7,99.2,2026,May,2026-05
2026-05-01,Household goods,105.1,106.8,2026,May,2026-05
2026-05-01,Non-food stores,109.2,107.2,2026,May,2026-05
2026-05-01,Non-store retailing,118.3,115.1,2026,May,2026-05
2026-06-01,All retail incl. fuel,109.9,104.8,2026,Jun,2026-06
2026-06-01,Clothing & footwear,104.5,101.7,2026,Jun,2026-06
2026-06-01,Food stores,108.1,99.5,2026,Jun,2026-06
2026-06-01,Household goods,104.2,106.2,2026,Jun,2026-06
2026-06-01,Non-food stores,109.8,107.9,2026,Jun,2026-06
2026-06-01,Non-store retailing,122.9,120.2,2026,Jun,2026-06
